"","x8dccsscr","x8nrsscr","x8flanker"
"1",7.5958,103,9.5193
"2",NA,NA,NA
"3",NA,NA,NA
"4",7.4282,84,7.9724
"5",NA,NA,NA
"6",6.7472,87,6.3839
"7",8.26819999999999,83,8.0187
"8",NA,NA,NA
"9",NA,NA,NA
"10",6.5484,99,5.7415
"11",NA,NA,NA
"12",NA,NA,NA
"13",NA,NA,NA
"14",8.0272,100,8.1278
"15",NA,NA,NA
"16",7.5145,75,7.6976
"17",NA,NA,NA
"18",NA,NA,NA
"19",8.3519,96,8.9593
"20",8.4419,100,7.9137
"21",8.3784,117,8.3015
"22",7.8555,100,8.5127
"23",9.2837,107,9.8532
"24",7.8251,120,8.8096
"25",8.2224,84,6.813
"26",7.6113,101,6.6921
"27",NA,NA,NA
"28",5.058,96,5.4122
"29",9.0891,85,8.7519
"30",7.1199,128,8.0769
"31",NA,NA,NA
"32",8.0023,110,8.0242
"33",NA,NA,NA
"34",7.3595,108,7.5154
"35",NA,NA,NA
"36",8.9173,85,7.5454
"37",NA,NA,NA
"38",7.578,100,6.4023
"39",NA,NA,NA
"40",5.7979,82,7.8882
"41",NA,NA,NA
"42",5.9336,99,4.875
"43",NA,NA,NA
"44",NA,NA,NA
"45",NA,NA,NA
"46",9.5588,69,9.5571
"47",6.8,78,8.27129999999999
"48",7.5994,102,8.8389
"49",7.517,115,7.9163
"50",6.98,127,8.03799999999999
"51",NA,NA,NA
"52",5.6079,83,6.5773
"53",7.8017,106,9.29809999999999
"54",7.3681,104,7.8691
"55",NA,NA,NA
"56",8.0344,122,7.8979
"57",9.0541,99,9.4223
"58",7.1734,101,7.7445
"59",NA,NA,NA
"60",9.333,101,7.6608
"61",7.3922,126,5.7402
"62",8.0992,85,6.5389
"63",7.7695,95,8.22859999999999
"64",9.2679,105,8.8463
"65",NA,NA,NA
"66",6.2834,61,6.319
"67",8.0456,83,8.944
"68",8.14789999999999,59,6.85
"69",3.875,78,6.0041
"70",6.9308,111,7.5968
"71",7.7729,107,7.9269
"72",7.8432,112,8.1884
"73",NA,NA,NA
"74",NA,NA,NA
"75",8.8151,106,9.4727
"76",7.6327,80,7.8639
"77",7.6445,95,8.1565
"78",8.876,98,5.5949
"79",6.2699,87,7.6977
"80",2.5,NA,NA
"81",9.4102,83,9.5523
"82",NA,65,NA
"83",6.8598,102,9.1584
"84",9.5,110,8.168
"85",NA,NA,NA
"86",NA,NA,NA
"87",7.5897,111,9.2593
"88",8.5451,109,9.0215
"89",8.0094,102,8.8925
"90",NA,NA,NA
"91",8.6884,103,8.6263
"92",7.3329,112,8.713
"93",8.0112,80,8.998
"94",7.9047,101,8.2325
"95",7.4871,92,8.6849
"96",NA,NA,NA
"97",8.7398,105,8.73769999999999
"98",8.3228,84,8.4288
"99",7.4968,81,7.7222
"100",NA,NA,NA
"101",NA,NA,NA
"102",5.8071,83,6.2255
"103",NA,NA,NA
"104",NA,NA,NA
"105",7.7947,105,7.5616
"106",5.2152,89,7.5803
"107",8.0858,92,8.2295
"108",NA,NA,NA
"109",NA,NA,NA
"110",7.2311,107,8.5291
"111",NA,NA,NA
"112",7.8619,85,7.9617
"113",7.6193,129,8.9173
"114",7.3374,120,8.4608
"115",6.8668,116,7.9084
"116",8.0629,102,8.5291
"117",6.5768,68,5.7756
"118",NA,NA,NA
"119",NA,NA,NA
"120",7.6228,107,6.6972
"121",7.4881,69,7.88
"122",6.9553,99,8.5756
"123",6.2331,78,5.9466
"124",NA,NA,NA
"125",NA,NA,NA
"126",8.5357,109,7.4655
"127",6.2916,69,6.7846
"128",8.2001,115,8.0463
"129",7.6407,120,8.1855
"130",NA,NA,NA
"131",NA,NA,NA
"132",7.4408,123,7.6062
"133",7.3409,58,6.8809
"134",7.1508,79,6.878
"135",8.4206,99,9.8321
"136",8.1886,103,8.69889999999999
"137",7.6165,105,7.8822
"138",NA,NA,NA
"139",NA,NA,NA
"140",NA,NA,NA
"141",8.14629999999999,71,8.3784
"142",NA,NA,NA
"143",8.0171,91,8.3197
"144",NA,NA,NA
"145",10,130,9.24779999999999
"146",7.004,79,6.2498
"147",NA,NA,NA
"148",7.8952,90,8.6919
"149",NA,NA,NA
"150",NA,NA,NA
"151",7.4075,107,5.1062
"152",7.705,108,8.27429999999999
"153",7.7299,97,8.0518
"154",NA,NA,NA
"155",NA,NA,NA
"156",NA,NA,NA
"157",8.72709999999999,98,7.9296
"158",NA,NA,NA
"159",8.0301,99,7.6733
"160",7.4978,106,6.3672
"161",NA,NA,NA
"162",7.486,107,6.4834
"163",NA,NA,NA
"164",7.1798,97,6.585
"165",7.7847,98,8.3015
"166",7.0794,113,7.7371
"167",7.2682,91,7.632
"168",7.5726,91,9.0333
"169",6.4033,87,6.0831
"170",8.1574,95,9.3374
"171",NA,NA,NA
"172",8.0033,109,8.0809
"173",6.5817,84,7.6709
"174",7.9324,79,8.2414
"175",8.4607,104,9.54879999999999
"176",7.786,89,8.0105
"177",NA,NA,NA
"178",NA,NA,NA
"179",7.6826,88,8.751
"180",NA,NA,NA
"181",7.4098,93,5.4557
"182",8.5589,92,8.7675
"183",NA,NA,NA
"184",NA,NA,NA
"185",5.8336,69,4.875
"186",6.5518,98,8.27129999999999
"187",NA,NA,NA
"188",7.6468,105,8.0546
"189",8.3505,60,8.4964
"190",7.7577,92,8.4931
"191",7.6733,92,8.6298
"192",7.79,56,5.5312
"193",NA,NA,NA
"194",7.3207,90,8.4931
"195",NA,NA,NA
"196",7.4459,98,5.7683
"197",NA,NA,NA
"198",NA,NA,NA
"199",NA,NA,NA
"200",NA,NA,NA
"201",8.5924,112,8.69889999999999
"202",7.4497,93,6.5572
"203",8.3521,118,9.5964
"204",NA,NA,NA
"205",8.2354,118,8.5523
"206",NA,NA,NA
"207",7.5131,79,8.4544
"208",NA,NA,NA
"209",7.5897,98,8.1079
"210",8.6592,98,8.6833
"211",6.5169,95,8.7951
"212",8.3167,90,8.777
"213",6.055,104,8.2652
"214",8.23769999999999,89,7.9304
"215",8.0128,86,9.4178
"216",8.6635,94,8.9541
"217",NA,NA,NA
"218",7.433,109,8.5689
"219",NA,NA,NA
"220",6.9839,104,5.7221
"221",8.0697,106,8.5456
"222",8.9479,95,8.8985
"223",7.7216,124,8.26819999999999
"224",NA,NA,NA
"225",7.1851,119,7.4098
"226",8.9727,122,9.1543
"227",NA,NA,NA
"228",7.1864,63,7.0657
"229",6.4947,79,6.5459
"230",9.63929999999999,119,9.23799999999999
"231",7.671,90,7.0872
"232",6.135,96,6.9102
"233",7.4993,76,5.5961
"234",4,96,5.6308
"235",7.89,97,8.0546
"236",7.1386,114,7.9058
"237",7.175,111,7.3682
"238",7.9547,97,5.4214
"239",7.7333,133,8.1193
"240",7.6824,113,7.8979
"241",8.5565,108,9.073
"242",7.6773,51,8.4544
"243",7.5447,90,7.9005
"244",NA,NA,NA
"245",7.2973,81,7.6015
"246",3.875,59,8.1328
"247",6.7449,96,7.747
"248",7.3281,101,7.8304
"249",8.5623,109,9.0333
"250",NA,NA,NA
"251",8.842,84,8.7866
"252",8.5656,99,8.0329
"253",7.1787,100,7.9007
"254",8.2644,84,8.7734
"255",NA,NA,NA
"256",7.1109,79,7.6181
"257",8.4067,122,8.6919
"258",NA,NA,NA
"259",NA,NA,NA
"260",7.6322,106,8.5225
"261",3.625,111,8.24729999999999
"262",7.8046,106,8.713
"263",8.20889999999999,116,8.3536
"264",8.9211,93,9.3728
"265",8.4479,97,8.5689
"266",6.9213,126,8.0882
"267",NA,NA,NA
"268",NA,NA,NA
"269",6.8112,91,8.2984
"270",7.0833,89,7.2778
"271",NA,NA,NA
"272",7.1564,94,7.8458
"273",7.7371,102,8.27129999999999
"274",NA,NA,NA
"275",NA,NA,NA
"276",8.3975,107,8.0187
"277",6.7299,94,6.8482
"278",NA,NA,NA
"279",7.412,107,9.14189999999999
"280",7.054,100,7.7395
"281",8.3519,105,8.5291
"282",6.775,105,5.5648
"283",7.4931,109,8.7519
"284",8.6916,104,9.406
"285",6.1765,91,4.875
"286",8.5288,106,8.6195
"287",7.4973,109,8.9866
"288",8.0424,75,8.1738
"289",8.0474,90,8.8426
"290",7.3314,89,7.9005
"291",9.3863,117,8.8389
"292",7.8815,108,7.9589
"293",7.2821,86,8.8352
"294",NA,NA,NA
"295",7.3,101,8.0966
"296",6.9511,84,5.3096
"297",NA,NA,NA
"298",NA,NA,NA
"299",7.9379,100,8.2414
"300",6.2224,69,7.3995
"301",7.2366,97,8.4964
"302",5.3883,83,7.9447
"303",7.642,110,8.2863
"304",7.6396,104,7.7321
"305",NA,NA,NA
"306",NA,NA,NA
"307",7.2532,106,7.6757
"308",NA,NA,NA
"309",6.3317,76,8.2503
"310",NA,NA,NA
"311",7.8253,116,6.9492
"312",8.2325,151,8.20889999999999
"313",9.2168,103,8.0242
"314",NA,NA,NA
"315",6.8186,97,7.3443
"316",7.043,115,7.4453
"317",NA,NA,NA
"318",NA,NA,NA
"319",7.5371,137,7.8665
"320",NA,NA,NA
"321",NA,NA,NA
"322",6.4338,86,7.9269
"323",7.5813,89,9.255
"324",NA,NA,NA
